"appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","label"
"12320","Sacred Gold","2008-07-09","1","Ascaron Entertainment ltd.","Strategy First","windows","0","Single-player","Action;RPG","RPG;Action;Hack and Slash","0","1489","319","337","404","200000-500000","6.99","1"
"12330","Darkstar One","2008-02-13","1","Ascaron Entertainment ltd.","Strategy First","windows","0","Single-player","Action","Action;Space;Sci-fi","0","256","59","0","0","100000-200000","6.99","1"
"12390","Exodus from the Earth ","2008-10-24","1","Parallax Arts Studio","Strategy First","windows","0","Single-player;Multi-player;Partial Controller Support","Action","Action;FPS;Shooter","0","51","44","0","0","0-20000","10.99","1"
"12530","Hunting Unlimited™ 2008","2008-01-29","1","SCS Software","ValuSoft;Retroism","windows","0","Single-player","Action;Adventure;Strategy","Action;Strategy;Adventure","0","29","9","0","0","20000-50000","4.99","1"
"12790","Damnation","2009-05-22","1","Blue Omega Entertainment","Codemasters","windows","0","Single-player;Multi-player;Co-op","Action;Adventure","Action;Adventure;Steampunk","0","132","182","0","0","50000-100000","6.99","1"
"12830","Operation Flashpoint: Dragon Rising","2009-10-08","1","Codemasters Studios","Codemasters","windows","0","Single-player;Partial Controller Support","Action","Action;FPS;Tactical","0","1024","580","413","417","500000-1000000","6.99","1"
"13140","America's Army 3","2009-06-17","1","U.S. Army","U.S. Army","windows","0","Single-player;Multi-player;Steam Achievements;Steam Cloud","Action","Action;Free to Play;FPS","71","1515","723","12","13","500000-1000000","0.0","1"
"13200","Unreal 2: The Awakening","2008-03-17","1","Epic Games, Inc.","Epic Games, Inc.","windows","0","Single-player","Action","Action;FPS;Sci-fi","0","240","100","682","682","200000-500000","8.99","1"
"13210","Unreal Tournament 3 Black","2009-03-05","1","Epic Games, Inc.","Epic Games, Inc.","windows","0","Single-player;Multi-player;Co-op;Steam Achievements","Action","FPS;Action;Multiplayer","57","2414","278","542","239","500000-1000000","13.99","1"
"13230","Unreal Tournament 2004: Editor's Choice Edition","2004-03-17","1","Epic Games, Inc.","Epic Games, Inc.","windows","0","Single-player;Multi-player;Steam Trading Cards","Action","FPS;Arena Shooter;Action","0","2211","66","414","496","200000-500000","8.99","1"
"13240","Unreal Tournament: Game of the Year Edition","2008-03-17","1","Epic Games, Inc.","Epic Games, Inc.","windows","0","Single-player;Multi-player","Action","Classic;FPS;Action","0","2134","65","565","924","200000-500000","5.99","1"
"13250","Unreal Gold","2008-03-17","1","Epic Games, Inc.","Epic Games, Inc.","windows","0","Single-player;Multi-player","Action","Classic;FPS;Action","0","1228","132","67","41","500000-1000000","5.99","1"
"13500","Prince of Persia: Warrior Within™","2009-08-27","1","Ubisoft","Ubisoft","windows","0","Single-player","Action;Adventure","Action;Adventure;Parkour","0","657","101","307","312","200000-500000","8.59","1"
"13520","Far Cry®","2008-04-01","1","Crytek Studios","Ubisoft","windows","0","Single-player","Action","FPS;Action;Classic","0","3099","609","126","229","500000-1000000","8.59","1"
"13530","Prince of Persia: The Two Thrones™","2009-08-27","1","Ubisoft Montreal","Ubisoft","windows","0","Single-player;Partial Controller Support","Action;Adventure","Action;Adventure;Platformer","0","365","109","205","205","200000-500000","8.59","1"
"13540","Tom Clancy's Rainbow Six® Vegas","2008-04-09","1","Ubisoft Montreal","Ubisoft","windows","0","Single-player;Multi-player","Action","Action;FPS;Tactical","0","371","106","0","0","200000-500000","8.59","1"
"13560","Tom Clancy's Splinter Cell®","2008-04-01","1","Ubisoft","Ubisoft","windows","0","Single-player","Action","Stealth;Action;Third Person","0","900","147","28","28","200000-500000","4.29","1"
"13570","Tom Clancy's Splinter Cell Chaos Theory®","2009-08-27","1","Ubisoft Montreal","Ubisoft","windows","0","Single-player","Action","Stealth;Action;Third Person","0","1777","140","22","22","200000-500000","8.59","1"
"13580","Tom Clancy's Splinter Cell Double Agent®","2009-02-13","1","Ubisoft Montreal","Ubisoft","windows","0","Single-player","Action","Stealth;Action;Third Person","0","356","454","0","0","200000-500000","8.59","1"
"13600","Prince of Persia®: The Sands of Time","2009-08-27","1","Kudosoft","Ubisoft","windows","0","Single-player","Action;Adventure","Action;Adventure;Parkour","0","831","122","167","167","200000-500000","8.59","1"
"13620","Tom Clancy's Ghost Recon® Desert Siege™","2008-07-15","1","Red Storm Entertainment","Ubisoft","windows","0","Single-player;Multi-player","Action","Action;FPS;Tactical","0","34","2","2","2","100000-200000","4.29","1"
"15000","Tom Clancy's Rainbow Six Lockdown™","2009-08-27","1","Red Storm Entertainment","Ubisoft","windows","0","Single-player;Multi-player","Action","Action;FPS;Tactical","0","80","79","20","20","100000-200000","4.29","1"
"15080","Rayman Raving Rabbids™","2008-06-13","1","Ubisoft Bulgaria;Ubisoft Montpellier","Ubisoft","windows","0","Single-player","Action;Adventure","Adventure;Action;Psychological Horror","0","239","80","29","29","20000-50000","4.29","1"
"15100","Assassin's Creed™: Director's Cut Edition","2008-04-09","1","Ubisoft Montreal","Ubisoft","windows","0","Single-player;Partial Controller Support","Action;Adventure","Action;Adventure;Open World","0","5743","1162","360","476","500000-1000000","8.59","1"
"15120","Tom Clancy's Rainbow Six® Vegas 2","2008-04-16","1","Ubisoft Montreal","Ubisoft","windows","0","Single-player;Multi-player;Co-op","Action","Action;Tactical;FPS","0","2582","456","1349","1936","500000-1000000","8.59","1"
"15130","Beyond Good and Evil™","2008-05-13","1","Ubisoft","Ubisoft","windows","0","Single-player","Action;Adventure","Adventure;Female Protagonist;Action","0","1823","186","355","448","200000-500000","4.29","1"
"15190","Brothers in Arms: Road to Hill 30™","2008-05-13","1","Gearbox Software","Ubisoft","windows","0","Single-player","Action","Action;FPS;World War II","0","624","100","69","69","100000-200000","4.29","1"
"15270","Cold Fear™","2008-05-13","1","Darkworks","Ubisoft","windows","0","Single-player","Action","Horror;Action;Survival Horror","0","272","40","0","0","20000-50000","4.29","1"
"15300","Tom Clancy's Ghost Recon®","2008-07-15","1","Red Storm Entertainment","Ubisoft","windows","0","Single-player;Co-op","Action","Tactical;FPS;Action","0","536","45","476","476","100000-200000","8.59","1"
"15390","Brothers in Arms: Hell's Highway™","2008-10-08","1","Gearbox Software","Ubisoft","windows","0","Single-player","Action","Action;World War II;FPS","0","823","98","346","346","100000-200000","8.59","1"
"15520","AaAaAA!!! - A Reckless Disregard for Gravity","2009-09-03","1","Dejobaan Games, LLC","Dejobaan Games, LLC","windows","0","Single-player;Steam Achievements;Steam Leaderboards","Action;Indie;Sports","Action;Indie;First-Person","7","547","103","151","151","100000-200000","6.99","1"
"15560","AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome","2011-11-23","1","Dejobaan Games, LLC;Owlchemy Labs","Dejobaan Games, LLC","windows;mac;linux","0","Single-player;Steam Achievements;Full controller support;Steam Leaderboards","Action;Indie;Sports","Indie;Action;First-Person","10","747","252","136","136","200000-500000","6.99","1"
"15740","Oddworld: Munch's Oddysee","2010-12-20","1","Oddworld Inhabitants","Oddworld Inhabitants","windows","0","Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support","Action;Adventure;Strategy","Adventure;Action;Strategy","38","437","155","3","3","200000-500000","3.99","1"
"15750","Oddworld: Stranger's Wrath HD","2010-12-20","1","Oddworld Inhabitants","Oddworld Inhabitants","windows","0","Single-player;Steam Achievements","Action;Adventure;Strategy","Adventure;Action;Singleplayer","36","759","139","98","98","200000-500000","6.99","1"
