"appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","label"
"1840","Source Filmmaker","2012-07-10","1","Valve","Valve","windows","0","Steam Workshop","Animation & Modeling;Video Production","Animation & Modeling;Video Production;Free to Play","0","15083","1111","239","77","1000000-2000000","0.0","1"
"2100","Dark Messiah of Might & Magic","2006-10-25","1","Arkane Studios","Ubisoft","windows","0","Single-player;Multi-player;Valve Anti-Cheat enabled","Action;RPG","RPG;Action;First-Person","0","4386","316","634","700","1000000-2000000","4.29","1"
"2400","The Ship: Murder Party","2006-07-11","1","Outerlight Ltd.","Blazing Griffin Ltd.","windows","0","Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled","Action;Indie;RPG","Multiplayer;Indie;Action","0","4819","792","233","239","1000000-2000000","0.0","1"
"2600","Vampire: The Masquerade - Bloodlines","2007-03-22","1","Troika Games","Activision","windows","0","Single-player","Action","RPG;Vampire;Cult Classic","0","6161","362","350","202","500000-1000000","14.99","1"
"2990","FlatOut 2™","2006-12-21","1","Bugbear Entertainment","Strategy First","windows","0","Single-player","Racing","Racing;Destruction;Multiplayer","0","5438","343","293","351","500000-1000000","5.99","1"
"3590","Plants vs. Zombies GOTY Edition","2009-05-05","1","PopCap Games, Inc.","PopCap Games, Inc.","windows;mac","0","Single-player;Steam Achievements","Strategy","Tower Defense;Zombies;Strategy","21","14630","454","480","374","1000000-2000000","4.25","1"
"3830","Psychonauts","2006-10-11","1","Double Fine Productions","Double Fine Productions","windows;mac;linux","0","Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","Action","Platformer;Comedy;Adventure","37","8204","456","491","232","2000000-5000000","6.99","1"
"4000","Garry's Mod","2006-11-29","1","Facepunch Studios","Valve","windows;mac;linux","0","Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor","Indie;Simulation","Sandbox;Multiplayer;Funny","29","363721","16433","12422","1875","10000000-20000000","6.99","1"
"4500","S.T.A.L.K.E.R.: Shadow of Chernobyl","2007-03-20","1","GSC Game World","GSC Game World","windows","0","Single-player;Multi-player","Action;RPG","Atmospheric;Post-apocalyptic;Open World","0","11039","570","493","360","1000000-2000000","9.99","1"
"4560","Company of Heroes - Legacy Edition","2007-07-17","1","Relic Entertainment","SEGA","windows","18","Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud","Violent;Action;Strategy","Strategy;RTS;World War II","0","4772","320","175","186","2000000-5000000","0.0","1"
"4700","Total War: MEDIEVAL II – Definitive Edition","2006-11-15","1","CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","windows;mac;linux","0","Single-player;Multi-player;Steam Trading Cards","Strategy","Strategy;Medieval;Historical","0","10270","605","469","361","2000000-5000000","0.0","1"
"4760","Rome: Total War™ - Collection","2007-08-28","1","CREATIVE ASSEMBLY","SEGA","windows","0","Single-player;Multi-player;Steam Trading Cards","Strategy","Strategy;Historical;Rome","0","7806","562","897","1192","1000000-2000000","8.99","1"
"4920","Natural Selection 2","2012-10-30","1","Unknown Worlds Entertainment","Unknown Worlds Entertainment","windows;linux","0","Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor","Action;Indie;Strategy","Multiplayer;Strategy;FPS","67","8372","1498","627","253","1000000-2000000","6.99","1"
"6000","STAR WARS™ Republic Commando™","2009-07-08","1","LucasArts","LucasArts;Lucasfilm;Disney Interactive","windows","0","Single-player;Multi-player;Local Multi-Player;Steam Cloud","Action","Star Wars;Action;FPS","0","6392","379","369","265","1000000-2000000","7.19","1"
"6020","STAR WARS™ Jedi Knight - Jedi Academy™","2009-09-16","1","Raven Software;Aspyr (Mac)","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive","windows;mac","0","Single-player;Online Multi-Player;Local Multi-Player;Partial Controller Support;Steam Cloud","Action","Star Wars;Action;Sci-fi","0","5684","330","1254","174","1000000-2000000","7.19","1"
"6060","Star Wars: Battlefront 2 (Classic, 2005)","2009-07-08","1","Pandemic Studios","Lucasfilm;LucasArts;Disney Interactive","windows","0","Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Steam Cloud","Action","Star Wars;Action;Multiplayer","0","29149","2425","618","320","2000000-5000000","7.19","1"
"6860","Hitman: Blood Money","2007-03-15","1","Io-Interactive A/S","Io-Interactive A/S","windows","18","Single-player","Action","Stealth;Action;Third Person","0","5864","391","435","365","1000000-2000000","9.29","1"
"6910","Deus Ex: Game of the Year Edition","2007-03-29","1","Ion Storm","Square Enix","windows","16","Single-player;Multi-player","Action","Cyberpunk;RPG;Stealth","0","6242","347","324","245","1000000-2000000","4.99","1"
"7940","Call of Duty® 4: Modern Warfare®","2007-11-12","1","Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)","windows;mac","0","Single-player;Multi-player","Action","FPS;Action;Multiplayer","0","8725","821","1417","1503","1000000-2000000","19.99","1"
"8190","Just Cause 2","2010-03-23","1","Avalanche Studios","Square Enix","windows","18","Single-player;Steam Achievements;Full controller support;Steam Cloud","Action;Adventure","Open World;Action;Sandbox","50","33636","3231","519","272","2000000-5000000","9.99","1"
"8500","EVE Online","2010-12-15","1","CCP","CCP","windows;mac","0","Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards","Action;Free to Play;Massively Multiplayer;RPG;Strategy","Space;Massively Multiplayer;Sci-fi","0","8317","2832","5123","230","1000000-2000000","0.0","1"
"8870","BioShock Infinite","2013-03-25","1","Irrational Games;Aspyr (Mac);Virtual Programming (Linux)","2K;Aspyr (Mac)","windows;mac;linux","18","Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","Action","FPS;Story Rich;Action","80","79442","3846","614","519","2000000-5000000","19.99","1"
"8930","Sid Meier's Civilization® V","2010-09-23","1","Firaxis Games;Aspyr (Mac);Aspyr (Linux)","2K;Aspyr (Mac);Aspyr (Linux)","windows;mac;linux","0","Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Strategy","Turn-Based Strategy;Strategy;Turn-Based","286","129030","5565","4760","1797","5000000-10000000","19.99","1"
"9200","RAGE","2011-10-03","1","id Software","Bethesda Softworks","windows","16","Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support","Action","FPS;Post-apocalyptic;Action","60","9394","2882","559","392","1000000-2000000","7.99","1"
"9420","Supreme Commander: Forged Alliance","2011-09-28","1","Gas Powered Games","Square Enix","windows","0","Single-player;Multi-player","Strategy","Strategy;RTS;Sci-fi","0","4969","174","803","1067","1000000-2000000","8.99","1"
"9450","Warhammer® 40,000: Dawn of War® - Soulstorm","2008-03-07","1","Relic Entertainment","SEGA","windows","16","Single-player;Multi-player;Steam Cloud","Strategy","Warhammer 40K;Strategy;RTS","0","4887","286","1433","1629","1000000-2000000","9.99","1"
"9480","Saints Row 2","2009-01-07","1","Volition","Deep Silver","windows;linux","0","Single-player;Steam Cloud","Action","Open World;Action;Character Customization","0","9442","2881","322","81","2000000-5000000","9.99","1"
"9900","Star Trek Online","2012-01-31","1","Cryptic Studios","Perfect World Entertainment","windows","0","Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases","Free to Play;Massively Multiplayer;RPG","Free to Play;Sci-fi;Space","0","7639","2391","2514","638","1000000-2000000","0.0","1"
"10090","Call of Duty: World at War","2008-11-18","1","Treyarch","Activision","windows","16","Single-player;Multi-player;Co-op","Action","Zombies;World War II;FPS","0","19595","1483","2331","1108","1000000-2000000","19.99","1"
"10180","Call of Duty®: Modern Warfare® 2","2009-11-11","1","Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)","windows;mac","0","Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","50","30006","2826","999","580","5000000-10000000","19.99","1"
"10500","Total War: EMPIRE – Definitive Edition","2009-03-04","1","CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)","windows;mac;linux","0","Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats","Strategy","Strategy;Historical;Military","30","14928","1719","3176","1385","2000000-5000000","19.99","1"
"10680","Aliens vs. Predator™","2010-02-16","1","Rebellion","SEGA","windows","0","Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards","Action","Action;FPS;Aliens","50","9448","1186","170","168","1000000-2000000","9.99","1"
"11020","TrackMania Nations Forever","2008-04-16","1","Nadeo","Ubisoft","windows","0","Single-player;Multi-player;Includes level editor","Racing","Racing;Free to Play;Multiplayer","0","8252","1244","902","87","2000000-5000000","0.0","1"
"12100","Grand Theft Auto III","2008-01-04","1","Rockstar Games","Rockstar Games","windows","18","Single-player;Partial Controller Support","Action","Open World;Action;Classic","0","4718","750","98","63","1000000-2000000","5.99","1"
"12110","Grand Theft Auto: Vice City","2011-01-10","1","Rockstar Games","Rockstar Games","windows","18","Single-player;Partial Controller Support","Action","Open World;Action;1980s","0","9817","819","209","93","2000000-5000000","5.99","1"
"12120","Grand Theft Auto: San Andreas","2008-01-04","1","Rockstar Games","Rockstar Games","windows","18","Single-player","Action","Open World;Action;Multiplayer","0","26877","3243","807","249","2000000-5000000","9.99","1"
"12200","Bully: Scholarship Edition","2008-10-21","1","Rockstar New England","Rockstar Games","windows","0","Single-player;Partial Controller Support","Action;Adventure","Open World;Action;Adventure","0","8504","1764","319","225","1000000-2000000","9.99","1"
"12210","Grand Theft Auto IV","2008-12-02","1","Rockstar North;Rockstar Toronto","Rockstar Games","windows","0","Single-player;Multi-player;Partial Controller Support","Action;Adventure","Open World;Action;Bowling","0","35240","18926","1255","634","2000000-5000000","19.99","1"
