"appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","label"
"280","Half-Life: Source","2004-06-01","1","Valve","Valve","windows;mac;linux","0","Single-player","Action","FPS;Action;Sci-fi","0","3767","1053","190","214","2000000-5000000","0.0","0"
"340","Half-Life 2: Lost Coast","2005-10-27","1","Valve","Valve","windows;mac;linux","0","Single-player;Commentary available","Action","FPS;Action;Singleplayer","0","5783","1020","46","29","10000000-20000000","0.0","0"
"360","Half-Life Deathmatch: Source","2006-05-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","0","1362","473","102","81","5000000-10000000","0.0","0"
"440","Team Fortress 2","2007-10-10","1","Valve","Valve","windows;mac;linux","0","Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available","Action;Free to Play","Free to Play;Multiplayer;FPS","520","515879","34036","8495","623","20000000-50000000","0.0","0"
"570","Dota 2","2013-07-09","1","Valve","Valve","windows;mac;linux","0","Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled","Action;Free to Play;Strategy","Free to Play;MOBA;Strategy","0","863507","142079","23944","801","100000000-200000000","0.0","0"
"630","Alien Swarm","2010-07-19","1","Valve","Valve","windows","0","Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor","Action","Free to Play;Co-op;Action","66","17435","941","371","83","2000000-5000000","0.0","0"
"730","Counter-Strike: Global Offensive","2012-08-21","1","Valve;Hidden Path Entertainment","Valve","windows;mac;linux","0","Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats","Action;Free to Play","FPS;Multiplayer;Shooter","167","2644404","402313","22494","6502","50000000-100000000","0.0","0"
"1700","Arx Fatalis","2007-04-03","1","Arkane Studios","Arkane Studios","windows","0","Single-player","RPG","RPG;First-Person;Classic","0","671","106","11","21","100000-200000","2.99","0"
"1840","Source Filmmaker","2012-07-10","1","Valve","Valve","windows","0","Steam Workshop","Animation & Modeling;Video Production","Animation & Modeling;Video Production;Free to Play","0","15083","1111","239","77","1000000-2000000","0.0","0"
"2270","Wolfenstein 3D","2007-08-03","1","id Software","Bethesda-Softworks","windows","0","Single-player;Steam Cloud","Action","FPS;Classic;Action","0","1773","87","69","110","200000-500000","2.99","0"
"2330","QUAKE II Mission Pack: The Reckoning","2007-08-03","1","Xatrix Entertainment","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Action;FPS;Classic","0","65","12","32","32","200000-500000","2.49","0"
"2340","QUAKE II Mission Pack: Ground Zero","2007-08-03","1","Rogue Entertainment","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Action;FPS;Shooter","0","54","33","1","1","200000-500000","2.49","0"
"2360","HeXen: Beyond Heretic","2007-08-03","1","Raven Software","id Software","windows","0","Single-player;Steam Cloud","Action","Action;FPS;Classic","0","249","26","50","50","200000-500000","2.99","0"
"2370","HeXen: Deathkings of the Dark Citadel","2007-08-03","1","Raven Software","id Software","windows","0","Single-player;Steam Cloud","Action","Action;FPS;Classic","0","57","20","0","0","100000-200000","2.99","0"
"2390","Heretic: Shadow of the Serpent Riders","2007-08-03","1","Raven Software","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Classic;Action;FPS","0","417","29","0","0","200000-500000","2.99","0"
"2400","The Ship: Murder Party","2006-07-11","1","Outerlight Ltd.","Blazing Griffin Ltd.","windows","0","Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled","Action;Indie;RPG","Multiplayer;Indie;Action","0","4819","792","233","239","1000000-2000000","0.0","0"
"2520","Gumboy - Crazy Adventures™","2006-12-19","1","CINEMAX, s.r.o.","CINEMAX, s.r.o.","windows","0","Single-player","Casual;Indie","Casual;Indie;Singleplayer","0","52","46","0","0","50000-100000","0.0","0"
"2590","Alpha Prime","2007-11-07","1","Black Element","Bohemia Interactive","windows","0","Single-player","Action","Action;FPS;Sci-fi","0","610","523","0","0","200000-500000","2.99","0"
