"appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","label"
"10","Counter-Strike","2000-11-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","0","124534","3339","17612","317","10000000-20000000","7.19","1"
"20","Team Fortress Classic","1999-04-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","0","3318","633","277","62","5000000-10000000","3.99","1"
"30","Day of Defeat","2003-05-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Valve Anti-Cheat enabled","Action","FPS;World War II;Multiplayer","0","3416","398","187","34","5000000-10000000","3.99","1"
"40","Deathmatch Classic","2001-06-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","0","1273","267","258","184","5000000-10000000","3.99","1"
"50","Half-Life: Opposing Force","1999-11-01","1","Gearbox Software","Valve","windows;mac;linux","0","Single-player;Multi-player;Valve Anti-Cheat enabled","Action","FPS;Action;Sci-fi","0","5250","288","624","415","5000000-10000000","3.99","1"
"60","Ricochet","2000-11-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Online Multi-Player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","0","2758","684","175","10","5000000-10000000","3.99","1"
"70","Half-Life","1998-11-08","1","Valve","Valve","windows;mac;linux","0","Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled","Action","FPS;Classic;Action","0","27755","1100","1300","83","5000000-10000000","7.19","1"
"80","Counter-Strike: Condition Zero","2004-03-01","1","Valve","Valve","windows;mac;linux","0","Single-player;Multi-player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","0","12120","1439","427","43","10000000-20000000","7.19","1"
"130","Half-Life: Blue Shift","2001-06-01","1","Gearbox Software","Valve","windows;mac;linux","0","Single-player","Action","FPS;Action;Sci-fi","0","3822","420","361","205","5000000-10000000","3.99","1"
"220","Half-Life 2","2004-11-16","1","Valve","Valve","windows;mac;linux","0","Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK","Action","FPS;Action;Sci-fi","33","67902","2419","691","402","10000000-20000000","7.19","1"
"240","Counter-Strike: Source","2004-11-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK","Action","Action;FPS;Multiplayer","147","76640","3497","6842","400","10000000-20000000","7.19","1"
"280","Half-Life: Source","2004-06-01","1","Valve","Valve","windows;mac;linux","0","Single-player","Action","FPS;Action;Sci-fi","0","3767","1053","190","214","2000000-5000000","0.0","1"
"300","Day of Defeat: Source","2010-07-12","1","Valve","Valve","windows;mac;linux","0","Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK","Action","FPS;World War II;Multiplayer","54","10489","1210","1356","134","5000000-10000000","7.19","1"
"320","Half-Life 2: Deathmatch","2004-11-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Valve Anti-Cheat enabled;Includes Source SDK","Action","Action;FPS;Multiplayer","0","6020","787","311","32","10000000-20000000","3.99","1"
"340","Half-Life 2: Lost Coast","2005-10-27","1","Valve","Valve","windows;mac;linux","0","Single-player;Commentary available","Action","FPS;Action;Singleplayer","0","5783","1020","46","29","10000000-20000000","0.0","1"
"360","Half-Life Deathmatch: Source","2006-05-01","1","Valve","Valve","windows;mac;linux","0","Multi-player;Valve Anti-Cheat enabled","Action","Action;FPS;Multiplayer","0","1362","473","102","81","5000000-10000000","0.0","1"
"380","Half-Life 2: Episode One","2006-06-01","1","Valve","Valve","windows;mac;linux","0","Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available","Action","FPS;Action;Sci-fi","13","7908","517","281","184","5000000-10000000","5.79","1"
"400","Portal","2007-10-10","1","Valve","Valve","windows;mac;linux","0","Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available","Action","Puzzle;First-Person;Singleplayer","15","51801","1080","288","137","10000000-20000000","7.19","1"
"420","Half-Life 2: Episode Two","2007-10-10","1","Valve","Valve","windows;mac;linux","0","Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available","Action","FPS;Action;Sci-fi","22","13902","696","354","301","5000000-10000000","5.79","1"
"440","Team Fortress 2","2007-10-10","1","Valve","Valve","windows;mac;linux","0","Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available","Action;Free to Play","Free to Play;Multiplayer;FPS","520","515879","34036","8495","623","20000000-50000000","0.0","1"
"500","Left 4 Dead","2008-11-17","1","Valve","Valve","windows;mac","0","Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Captions available;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes Source SDK;Commentary available","Action","Zombies;Co-op;FPS","73","17951","948","897","278","5000000-10000000","7.19","1"
"550","Left 4 Dead 2","2009-11-19","1","Valve","Valve","windows;mac;linux","0","Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available","Action","Zombies;Co-op;FPS","70","251789","8418","1615","566","10000000-20000000","7.19","1"
"570","Dota 2","2013-07-09","1","Valve","Valve","windows;mac;linux","0","Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled","Action;Free to Play;Strategy","Free to Play;MOBA;Strategy","0","863507","142079","23944","801","100000000-200000000","0.0","1"
"620","Portal 2","2011-04-18","1","Valve","Valve","windows;mac;linux","0","Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available","Action;Adventure","Puzzle;Co-op;First-Person","51","138220","1891","1102","520","10000000-20000000","7.19","1"
"630","Alien Swarm","2010-07-19","1","Valve","Valve","windows","0","Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor","Action","Free to Play;Co-op;Action","66","17435","941","371","83","2000000-5000000","0.0","1"
"730","Counter-Strike: Global Offensive","2012-08-21","1","Valve;Hidden Path Entertainment","Valve","windows;mac;linux","0","Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats","Action;Free to Play","FPS;Multiplayer;Shooter","167","2644404","402313","22494","6502","50000000-100000000","0.0","1"
"1200","Red Orchestra: Ostfront 41-45","2006-03-14","1","Tripwire Interactive","Tripwire Interactive","windows;mac;linux","0","Multi-player;Steam Achievements;Valve Anti-Cheat enabled","Action","World War II;Action;FPS","44","1562","223","232","258","500000-1000000","3.99","1"
"1250","Killing Floor","2009-05-14","1","Tripwire Interactive","Tripwire Interactive","windows;mac;linux","0","Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor","Action","FPS;Zombies;Co-op","285","53710","2649","1328","306","2000000-5000000","14.99","1"
"1300","SiN Episodes: Emergence","2006-05-10","1","Ritual Entertainment","Ritual Entertainment","windows","0","Single-player;Stats","Action","Action;FPS;Cyberpunk","0","468","61","0","0","100000-200000","7.19","1"
"2100","Dark Messiah of Might & Magic","2006-10-25","1","Arkane Studios","Ubisoft","windows","0","Single-player;Multi-player;Valve Anti-Cheat enabled","Action;RPG","RPG;Action;First-Person","0","4386","316","634","700","1000000-2000000","4.29","1"
"2200","Quake III Arena","2007-08-03","1","id Software","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","FPS;Action;Classic","0","1362","66","123","103","200000-500000","12.99","1"
"2210","Quake IV","2011-08-04","1","RavenSoft / id Software","Bethesda Softworks","windows","18","Single-player;Multi-player;Steam Cloud","Action","FPS;Action;Shooter","0","891","171","36","32","200000-500000","12.99","1"
"2270","Wolfenstein 3D","2007-08-03","1","id Software","Bethesda-Softworks","windows","0","Single-player;Steam Cloud","Action","FPS;Classic;Action","0","1773","87","69","110","200000-500000","2.99","1"
"2280","Ultimate Doom","2007-08-03","1","id Software","id Software","windows","0","Single-player;Steam Cloud","Action","Classic;FPS;Action","0","3705","257","125","179","500000-1000000","3.99","1"
"2290","Final DOOM","2007-08-03","1","id Software","id Software","windows","0","Single-player;Steam Cloud","Action","FPS;Action;Classic","0","573","82","120","114","200000-500000","3.99","1"
"2300","DOOM II","2007-08-03","1","id Software","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Classic;FPS;Action","0","2517","182","90","78","500000-1000000","3.99","1"
"2310","QUAKE","2007-08-03","1","id Software","id Software","windows","0","Single-player;Multi-player;Co-op;Steam Cloud","Action","FPS;Classic;Action","0","2618","136","167","189","200000-500000","3.99","1"
"2320","QUAKE II","2007-08-03","1","id Software","id Software","windows","0","Single-player;Multi-player;Co-op;Steam Cloud","Action","FPS;Action;Classic","0","1369","107","291","349","200000-500000","3.99","1"
"2330","QUAKE II Mission Pack: The Reckoning","2007-08-03","1","Xatrix Entertainment","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Action;FPS;Classic","0","65","12","32","32","200000-500000","2.49","1"
"2340","QUAKE II Mission Pack: Ground Zero","2007-08-03","1","Rogue Entertainment","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Action;FPS;Shooter","0","54","33","1","1","200000-500000","2.49","1"
"2350","QUAKE III: Team Arena","2007-08-03","1","id Software","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Action;FPS;Competitive","0","108","31","0","0","200000-500000","12.99","1"
"2360","HeXen: Beyond Heretic","2007-08-03","1","Raven Software","id Software","windows","0","Single-player;Steam Cloud","Action","Action;FPS;Classic","0","249","26","50","50","200000-500000","2.99","1"
"2370","HeXen: Deathkings of the Dark Citadel","2007-08-03","1","Raven Software","id Software","windows","0","Single-player;Steam Cloud","Action","Action;FPS;Classic","0","57","20","0","0","100000-200000","2.99","1"
"2390","Heretic: Shadow of the Serpent Riders","2007-08-03","1","Raven Software","id Software","windows","0","Single-player;Multi-player;Steam Cloud","Action","Classic;Action;FPS","0","417","29","0","0","200000-500000","2.99","1"
"2400","The Ship: Murder Party","2006-07-11","1","Outerlight Ltd.","Blazing Griffin Ltd.","windows","0","Single-player;Multi-player;Steam Trading Cards;Valve Anti-Cheat enabled","Action;Indie;RPG","Multiplayer;Indie;Action","0","4819","792","233","239","1000000-2000000","0.0","1"
"2450","Bloody Good Time","2010-10-29","1","Outerlight Ltd.","Ubisoft","windows","0","Single-player;Multi-player;Steam Achievements","Action","Action;Multiplayer;FPS","12","662","204","193","193","100000-200000","4.29","1"
"2500","Shadowgrounds","2006-05-08","1","Frozenbyte","Frozenbyte","windows;mac","0","Single-player;Shared/Split Screen;Steam Trading Cards","Action","Action;Sci-fi;Top-Down Shooter","0","973","248","186","258","500000-1000000","3.99","1"
"2590","Alpha Prime","2007-11-07","1","Black Element","Bohemia Interactive","windows","0","Single-player","Action","Action;FPS;Sci-fi","0","610","523","0","0","200000-500000","2.99","1"
"2600","Vampire: The Masquerade - Bloodlines","2007-03-22","1","Troika Games","Activision","windows","0","Single-player","Action","RPG;Vampire;Cult Classic","0","6161","362","350","202","500000-1000000","14.99","1"
"2610","GUN™","2006-10-13","1","Neversoft","Activision","windows","0","Single-player","Action","Western;Action;Open World","0","740","87","462","889","50000-100000","9.99","1"
"2620","Call of Duty®","2006-10-13","1","Infinity Ward","Activision","windows","0","Single-player;Multi-player","Action","FPS;World War II;Action","0","1555","117","545","849","200000-500000","14.99","1"
"2630","Call of Duty® 2","2006-10-13","1","Infinity Ward;Aspyr (Mac)","Activision;Aspyr (Mac)","windows;mac","0","Single-player;Multi-player","Action","Action;World War II;FPS","0","2434","236","750","1041","200000-500000","14.99","1"
"2640","Call of Duty: United Offensive","2006-10-13","1","Gray Matter Studios","Activision","windows","0","Single-player;Multi-player","Action","Action;World War II;FPS","0","490","97","0","0","200000-500000","14.99","1"
"2710","Act of War: Direct Action","2008-03-12","1","Eugen Systems","THQ Nordic","windows","0","Single-player;Multi-player","Action","Action;Strategy;RTS","0","180","33","0","0","20000-50000","1.99","1"
"2720","ThreadSpace: Hyperbol","2007-07-12","1","Iocaine Studios","Atari","windows","0","Single-player;Multi-player;Includes level editor","Action;Indie;Strategy","Strategy;Action;Indie","0","31","9","0","0","20000-50000","3.99","1"
"2780","ARMA: Combat Operations","2008-03-12","1","Bohemia Interactive","Bohemia Interactive","windows","0","Single-player;Multi-player;Includes level editor","Action","Action;Simulation;Shooter","0","145","77","0","0","20000-50000","5.99","1"
"2820","X3: Terran Conflict","2008-10-16","1","Egosoft","Egosoft","windows;mac;linux","0","Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud","Action;Simulation;Strategy","Space;Simulation;Sci-fi","33","1633","272","972","1273","500000-1000000","15.99","1"
"2870","X Rebirth","2013-11-15","1","Egosoft","Egosoft","windows;mac;linux","0","Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud","Action;Simulation","Space;Simulation;Sci-fi","69","2832","4032","1744","3386","200000-500000","24.99","1"
"3020","Call of Juarez™","2007-11-08","1","Techland","Techland Publishing","windows","0","Single-player;Multi-player;Steam Trading Cards","Action","Western;Action;FPS","0","793","198","46","60","100000-200000","8.59","1"
"3270","Painkiller Overdose","2007-10-30","1","Mindware Studios","THQ Nordic","windows","0","Single-player;Multi-player","Action","Action;FPS;Shooter","0","429","137","270","270","200000-500000","4.49","1"
"3620","Zuma's Revenge!","2009-09-15","1","PopCap Games, Inc.","PopCap Games, Inc.","windows","0","Single-player;Steam Achievements;Stats","Action;Casual","Casual;Action;Match 3","14","435","28","0","0","100000-200000","4.25","1"
"3700","Sniper Elite","2009-07-16","1","Rebellion","Rebellion","windows","0","Single-player;Steam Trading Cards","Action","Action;Sniper;Stealth","0","1181","377","262","371","500000-1000000","5.59","1"
"3710","Judge Dredd: Dredd vs. Death","2009-03-26","1","Rebellion","Rebellion","windows","0","Single-player;Multi-player;Co-op","Action","Action;FPS;First-Person","0","559","79","8","8","50000-100000","5.59","1"
"3730","Aliens versus Predator Classic 2000","2010-01-15","1","Rebellion","Rebellion","windows","0","Single-player;Multi-player","Action","FPS;Action;Classic","0","1434","219","20","24","200000-500000","3.99","1"
"3800","Advent Rising","2006-09-14","1","GlyphX Games","Majesco Entertainment","windows","0","Single-player;Steam Trading Cards","Action","Action;Sci-fi;Story Rich","0","260","71","0","0","50000-100000","7.19","1"
"3810","BloodRayne","2006-09-14","1","Terminal Reality","Majesco Entertainment","windows","0","Single-player;Steam Trading Cards","Action","Action;Vampire;Female Protagonist","0","369","110","111","111","50000-100000","6.99","1"
